time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
29-09-2023 15:31:00,19637.05,19637.05,19637.05,19637.05,0.00,0,0,0,0
29-09-2023 15:30:59,19637.05,19637.05,19637.05,19637.05,0.00,0,0,0,0
29-09-2023 15:29:00,19637.90,19640.30,19633.35,19638.20,0.00,0,0,0,0
29-09-2023 15:28:00,19628.75,19640.90,19628.55,19638.15,0.00,0,0,0,0
29-09-2023 15:27:00,19629.45,19630.95,19625.15,19628.85,0.00,0,0,0,0
29-09-2023 15:26:00,19626.10,19629.75,19625.30,19628.85,0.00,0,0,0,0
29-09-2023 15:25:00,19626.45,19627.90,19623.70,19626.80,0.00,0,0,0,0
29-09-2023 15:24:00,19633.30,19633.90,19625.55,19626.05,0.00,0,0,0,0
29-09-2023 15:23:00,19628.90,19634.80,19627.80,19633.00,0.00,0,0,0,0
29-09-2023 15:22:00,19632.60,19632.90,19627.95,19627.95,0.00,0,0,0,0
29-09-2023 15:21:00,19636.35,19636.95,19631.30,19632.05,0.00,0,0,0,0
29-09-2023 15:20:00,19634.70,19641.55,19634.20,19635.40,0.00,0,0,0,0
29-09-2023 15:19:00,19629.85,19635.00,19628.10,19634.15,0.00,0,0,0,0
29-09-2023 15:18:00,19619.05,19629.60,19619.05,19629.25,0.00,0,0,0,0
29-09-2023 15:17:00,19620.70,19620.80,19618.55,19618.55,0.00,0,0,0,0
29-09-2023 15:16:00,19623.45,19624.05,19620.00,19621.35,0.00,0,0,0,0
29-09-2023 15:15:00,19624.35,19626.70,19622.35,19623.15,0.00,0,0,0,0
29-09-2023 15:14:00,19632.75,19633.10,19623.75,19623.80,0.00,0,0,0,0
29-09-2023 15:13:00,19635.10,19636.10,19632.35,19633.05,0.00,0,0,0,0
29-09-2023 15:12:00,19632.85,19636.40,19631.25,19635.80,0.00,0,0,0,0
29-09-2023 15:11:00,19626.65,19634.05,19625.55,19632.30,0.00,0,0,0,0
