time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
09-10-2023 09:14:00,19539.45,19539.45,19539.45,19539.45,0.00,0,0,0,0
09-10-2023 09:15:00,19542.80,19542.80,19505.75,19507.60,0.00,0,0,0,0
09-10-2023 09:16:00,19509.65,19513.95,19505.70,19512.15,0.00,0,0,0,0
09-10-2023 09:17:00,19510.55,19517.85,19504.75,19506.60,0.00,0,0,0,0
09-10-2023 09:18:00,19506.85,19513.50,19505.70,19509.85,0.00,0,0,0,0
09-10-2023 09:19:00,19510.10,19513.35,19505.15,19505.25,0.00,0,0,0,0
09-10-2023 09:20:00,19504.50,19504.50,19496.10,19499.85,0.00,0,0,0,0
09-10-2023 09:21:00,19500.70,19501.25,19490.80,19491.30,0.00,0,0,0,0
09-10-2023 09:22:00,19492.60,19492.60,19480.90,19486.55,0.00,0,0,0,0
09-10-2023 09:23:00,19487.05,19500.75,19487.05,19500.15,0.00,0,0,0,0
09-10-2023 09:24:00,19500.35,19508.95,19499.55,19499.55,0.00,0,0,0,0
09-10-2023 09:25:00,19498.20,19498.65,19493.65,19494.95,0.00,0,0,0,0
09-10-2023 09:26:00,19493.65,19493.65,19486.40,19489.45,0.00,0,0,0,0
09-10-2023 09:27:00,19491.15,19497.90,19490.85,19497.90,0.00,0,0,0,0
09-10-2023 09:28:00,19496.40,19509.65,19495.05,19509.65,0.00,0,0,0,0
09-10-2023 09:29:00,19508.10,19512.00,19502.45,19507.55,0.00,0,0,0,0
09-10-2023 09:30:00,19506.90,19518.45,19506.35,19517.30,0.00,0,0,0,0
09-10-2023 09:31:00,19517.55,19530.40,19517.55,19526.90,0.00,0,0,0,0
09-10-2023 09:32:00,19527.95,19533.45,19527.60,19529.05,0.00,0,0,0,0
09-10-2023 09:33:00,19528.00,19542.75,19527.70,19541.30,0.00,0,0,0,0
09-10-2023 09:34:00,19541.55,19542.95,19537.60,19537.60,0.00,0,0,0,0
09-10-2023 09:35:00,19537.95,19539.10,19529.90,19531.40,0.00,0,0,0,0
