time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
13-10-2023 09:14:00,19654.55,19654.55,19654.55,19654.55,0.00,0,0,0,0
13-10-2023 09:15:00,19667.60,19678.85,19648.70,19676.70,0.00,0,0,0,0
13-10-2023 09:16:00,19674.15,19695.45,19673.20,19695.45,0.00,0,0,0,0
13-10-2023 09:17:00,19695.65,19709.20,19695.65,19708.15,0.00,0,0,0,0
13-10-2023 09:18:00,19708.05,19717.55,19702.45,19715.25,0.00,0,0,0,0
13-10-2023 09:19:00,19715.75,19718.00,19709.75,19714.90,0.00,0,0,0,0
13-10-2023 09:20:00,19714.60,19716.85,19709.05,19713.70,0.00,0,0,0,0
13-10-2023 09:21:00,19712.70,19716.55,19709.65,19713.40,0.00,0,0,0,0
13-10-2023 09:22:00,19715.20,19722.80,19713.00,19719.45,0.00,0,0,0,0
13-10-2023 09:23:00,19719.35,19723.10,19715.95,19719.15,0.00,0,0,0,0
13-10-2023 09:24:00,19718.90,19722.45,19717.15,19720.80,0.00,0,0,0,0
13-10-2023 09:25:00,19721.80,19724.45,19717.65,19723.40,0.00,0,0,0,0
13-10-2023 09:26:00,19723.05,19731.55,19722.60,19726.25,0.00,0,0,0,0
13-10-2023 09:27:00,19725.80,19730.05,19723.85,19727.25,0.00,0,0,0,0
13-10-2023 09:28:00,19727.35,19734.15,19727.35,19732.90,0.00,0,0,0,0
13-10-2023 09:29:00,19733.20,19733.95,19724.10,19724.70,0.00,0,0,0,0
13-10-2023 09:30:00,19724.50,19731.15,19724.50,19729.30,0.00,0,0,0,0
13-10-2023 09:31:00,19726.40,19726.50,19720.15,19721.20,0.00,0,0,0,0
13-10-2023 09:32:00,19722.00,19722.15,19716.90,19718.25,0.00,0,0,0,0
13-10-2023 09:33:00,19717.85,19728.10,19717.05,19725.70,0.00,0,0,0,0
13-10-2023 09:34:00,19725.80,19736.25,19725.80,19728.10,0.00,0,0,0,0
13-10-2023 09:35:00,19726.60,19729.40,19724.50,19724.70,0.00,0,0,0,0
13-10-2023 09:36:00,19725.20,19728.10,19724.35,19726.75,0.00,0,0,0,0
13-10-2023 09:37:00,19726.30,19727.75,19724.25,19725.20,0.00,0,0,0,0
13-10-2023 09:38:00,19724.70,19726.80,19719.00,19719.10,0.00,0,0,0,0
13-10-2023 09:39:00,19719.15,19722.70,19717.70,19721.55,0.00,0,0,0,0
13-10-2023 09:40:00,19722.60,19725.10,19715.35,19716.50,0.00,0,0,0,0
13-10-2023 09:41:00,19717.35,19717.65,19713.95,19716.10,0.00,0,0,0,0
13-10-2023 09:42:00,19716.45,19718.20,19713.00,19713.50,0.00,0,0,0,0
13-10-2023 09:43:00,19714.35,19716.45,19712.00,19712.00,0.00,0,0,0,0
13-10-2023 09:44:00,19712.50,19713.85,19706.95,19708.40,0.00,0,0,0,0
13-10-2023 09:45:00,19707.55,19708.55,19702.15,19707.75,0.00,0,0,0,0
13-10-2023 09:46:00,19708.30,19711.20,19707.05,19708.95,0.00,0,0,0,0
13-10-2023 09:47:00,19709.05,19710.75,19706.05,19707.20,0.00,0,0,0,0
13-10-2023 09:48:00,19707.25,19708.35,19701.30,19701.35,0.00,0,0,0,0
13-10-2023 09:49:00,19702.20,19702.20,19699.35,19701.05,0.00,0,0,0,0
13-10-2023 09:50:00,19701.40,19708.40,19699.15,19708.40,0.00,0,0,0,0
13-10-2023 09:51:00,19708.45,19708.45,19699.45,19701.20,0.00,0,0,0,0
13-10-2023 09:52:00,19701.25,19702.60,19696.65,19698.75,0.00,0,0,0,0
13-10-2023 09:53:00,19698.90,19704.10,19698.90,19701.25,0.00,0,0,0,0
13-10-2023 09:54:00,19700.15,19703.60,19699.25,19701.45,0.00,0,0,0,0
13-10-2023 09:55:00,19701.55,19703.95,19700.15,19703.95,0.00,0,0,0,0
13-10-2023 09:56:00,19701.55,19711.10,19701.55,19710.30,0.00,0,0,0,0
13-10-2023 09:57:00,19709.55,19712.25,19707.80,19710.35,0.00,0,0,0,0
13-10-2023 09:58:00,19711.30,19712.05,19708.75,19709.60,0.00,0,0,0,0
13-10-2023 09:59:00,19709.40,19713.00,19708.85,19711.45,0.00,0,0,0,0
13-10-2023 10:00:00,19711.75,19713.20,19708.05,19710.15,0.00,0,0,0,0
13-10-2023 10:01:00,19709.30,19710.65,19705.05,19705.05,0.00,0,0,0,0
13-10-2023 10:02:00,19705.75,19705.85,19694.00,19694.70,0.00,0,0,0,0
13-10-2023 10:03:00,19695.35,19697.25,19693.10,19694.20,0.00,0,0,0,0
